Season,TM,GP,GS,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF
1996-97,LAL,71,6,15.5,7.6,1.9,1.3,0.7,0.3,2.5,5.9,41.7,0.7,1.9,37.5,1.9,2.3,81.9,54.4,0.7,1.2,1.6,1.4
1997-98,LAL,79,1,26.0,15.4,3.1,2.5,0.9,0.5,4.9,11.6,42.8,0.9,2.8,34.1,4.6,5.8,79.4,54.8,1.0,2.1,2.0,2.3
1998-99,LAL,50,50,37.9,19.9,5.3,3.8,1.4,1.0,7.2,15.6,46.5,0.5,2.0,26.7,4.9,5.8,83.9,54.9,1.1,4.2,3.1,3.1
1999-00,LAL,66,62,38.2,22.5,6.3,4.9,1.6,0.9,8.4,17.9,46.8,0.7,2.2,31.9,5.0,6.1,82.1,54.6,1.6,4.7,2.8,3.3
2000-01,LAL,68,68,40.9,28.5,5.9,5.0,1.7,0.6,10.3,22.2,46.4,0.9,2.9,30.5,7.0,8.2,85.3,55.2,1.5,4.3,3.2,3.3
2001-02,LAL,80,80,38.3,25.2,5.5,5.5,1.5,0.4,9.4,20.0,46.9,0.4,1.7,25.0,6.1,7.4,82.9,54.4,1.4,4.1,2.8,2.9
2002-03,LAL,82,82,41.5,30.0,6.9,5.9,2.2,0.8,10.6,23.5,45.1,1.5,4.0,38.3,7.3,8.7,84.3,55.0,1.3,5.6,3.5,2.7
2003-04,LAL,65,64,37.6,24.0,5.5,5.1,1.7,0.4,7.9,18.1,43.8,1.1,3.3,32.7,7.0,8.2,85.2,55.1,1.6,3.9,2.6,2.7
2004-05,LAL,66,66,40.7,27.6,5.9,6.0,1.3,0.8,8.7,20.1,43.3,2.0,5.9,33.9,8.2,10.1,81.6,56.3,1.4,4.5,4.1,2.6
2005-06,LAL,80,80,41.0,35.4,5.3,4.5,1.8,0.4,12.2,27.2,45.0,2.3,6.5,34.7,8.7,10.2,85.0,55.9,0.9,4.4,3.1,2.9
2006-07,LAL,77,77,40.8,31.6,5.7,5.4,1.4,0.5,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10.0,86.8,58.0,1.0,4.7,3.3,2.7
2007-08,LAL,82,82,38.9,28.3,6.3,5.4,1.8,0.5,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9.0,84.0,57.6,1.1,5.2,3.1,2.8
